id,name,x,y,z,rotationY,length,width,floors,footprintLengthMin,footprintLengthMax,residenceType,groundFootprintIndependent,parentBuildingID,source
FIN-01,金融学院楼,600.0,102.0,-320.0,270.0,86.0,32.0,7,,,,,,第17项总平面
FLA-01,外国语学院楼,820.0,106.0,280.0,270.0,88.0,32.0,7,,,,,,第17项总平面
GEO-01,地球科学楼,260.0,111.0,650.0,180.0,92.0,36.0,6,,,,,,第17项总平面
GEO-02,资源实验中心,260.0,110.0,550.0,180.0,86.0,46.0,4,,,,,,第17项总平面
GPA-01,公共管理楼,820.0,105.0,120.0,270.0,86.0,32.0,6,,,,,,第17项总平面
HSP-01,江城大学附属医院门诊综合基座,-1040,99,-1010,180,140,70,6,,,,,,PATCH-2026-09-13-R6
HSP-02,江城大学附属医院住院塔楼,,,,,112,56,,,,,False,HSP-01,PATCH-2026-09-13-R6
HSP-03,江城大学附属医院医技连接翼,-1040,99,-944,180,92,62,8,,,,,,PATCH-2026-09-13-R6
HSP-04,江城大学附属医院科研中心,-860,101,-830,180,92,46,8,,,,,,PATCH-2026-09-13-R6
HSP-05,校医院/卫生中心,-680,103,-680,45,72,36,4,,,,,,PATCH-2026-09-13-R6
HUM-01,人文学院楼,650.0,106.0,280.0,270.0,88.0,32.0,7,,,,,,第17项总平面
ICT-01,信息通信楼,-960.0,107.0,90.0,90.0,96.0,36.0,7,,,,,,第17项总平面
ICT-02,通信实验中心,-840.0,106.0,0.0,90.0,90.0,46.0,5,,,,,,第17项总平面
IGS-01,国际研究生院,900.0,103.0,-360.0,270.0,92.0,36.0,7,,,,,,第17项总平面
JRN-01,新闻传播楼,650.0,108.0,430.0,270.0,86.0,32.0,6,,,,,,第17项总平面
LAW-01,法学院及法律援助中心,-1430.0,106.0,-80.0,270.0,104.0,40.0,7,,,,,,第17项总平面
LIFE-01,生命科学楼,100.0,110.0,650.0,180.0,96.0,36.0,7,,,,,,第17项总平面
LIFE-02,生物实验中心,100.0,109.0,550.0,180.0,92.0,52.0,5,,,,,,第17项总平面
LIFE-C-01,江城大学校园商业中心,520.0,101.0,-550.0,270.0,122.0,72.0,4,,,,,,第17项总平面
LIFE-C-02,博雅餐厅,690.0,101.0,-550.0,270.0,92.0,56.0,3,,,,,,第17项总平面
LIFE-C-03,校园书店,520.0,101.0,-650.0,270.0,72.0,38.0,3,,,,,,第17项总平面
LIFE-C-04,快递邮政中心,690.0,101.0,-650.0,270.0,82.0,44.0,3,,,,,,第17项总平面
LIFE-E-01,东苑食堂,1150.0,103.0,-300.0,180.0,112.0,66.0,4,,,,,,第17项总平面
LIFE-E-02,江大校园超市·东苑店,1320.0,103.0,-300.0,180.0,62.0,36.0,2,,,,,,第17项总平面
LIFE-N-01,北苑食堂,850.0,113.0,800.0,180.0,108.0,64.0,4,,,,,,第17项总平面
LIFE-N-02,江大校园超市·北苑店,850.0,112.0,690.0,180.0,60.0,36.0,2,,,,,,第17项总平面
LIFE-S-01,南苑食堂,900.0,102.0,-820.0,180.0,112.0,66.0,4,,,,,,第17项总平面
LIFE-S-02,江大校园超市·南苑店,900.0,102.0,-940.0,180.0,62.0,36.0,2,,,,,,第17项总平面
LIFE-W-01,西苑食堂,-1450.0,106.0,120.0,90.0,112.0,66.0,4,,,,,,第17项总平面
LIFE-W-02,江大校园超市·西苑店,-1300.0,106.0,120.0,90.0,62.0,36.0,2,,,,,,第17项总平面
MARX-01,学院楼,650.0,104.0,120.0,270.0,78.0,30.0,6,,,,,,第17项总平面
MAT-01,材料学院楼,-710.0,109.0,450.0,90.0,92.0,34.0,6,,,,,,第17项总平面
MAT-02,材料实验中心,-590.0,108.0,350.0,90.0,86.0,46.0,4,,,,,,第17项总平面
MATH-01,数学科学楼,-320.0,108.0,600.0,180.0,92.0,32.0,7,,,,,,第17项总平面
ME-01,机械A楼,-960.0,111.0,450.0,90.0,102.0,36.0,7,,,,,,第17项总平面
ME-02,机械B楼,-840.0,111.0,450.0,90.0,96.0,36.0,6,,,,,,第17项总平面
ME-03,先进制造实验楼,-900.0,110.0,350.0,90.0,112.0,52.0,4,,,,,,第17项总平面
MED-01,医学院教学楼,-1230.0,104.0,-620.0,45.0,112.0,40.0,8,,,,,,第17项总平面
MED-02,基础医学楼,-1080.0,104.0,-620.0,45.0,96.0,40.0,7,,,,,,第17项总平面
MED-03,医学实验楼,-1230.0,105.0,-500.0,45.0,96.0,52.0,6,,,,,,第17项总平面
MED-04,医学研究中心,-1080.0,105.0,-500.0,45.0,102.0,46.0,8,,,,,,第17项总平面
NEE-01,国家卓越工程师学院,-470,107,280,90.0,102.0,40.0,7,,,,,,PATCH-2026-09-13-R6
NEE-02,工程实践中心,-390.0,106.0,180.0,90.0,102.0,52.0,4,,,,,,第17项总平面
NUC-01,核科学楼,-1210.0,112.0,450.0,90.0,92.0,36.0,6,,,,,,第17项总平面
NUC-02,新能源楼,-1090.0,112.0,450.0,90.0,96.0,36.0,6,,,,,,第17项总平面
NUC-03,能源实验中心,-1150.0,111.0,350.0,90.0,102.0,52.0,4,,,,,,第17项总平面
OPS-01,保卫/校园警务中心,-120.0,100.0,-900.0,180.0,62.0,32.0,4,,,,,,第17项总平面
OPS-02,后勤服务中心,1180.0,101.0,-850.0,90.0,82.0,38.0,5,,,,,,第17项总平面
OPS-03,维修中心,1330.0,101.0,-760.0,90.0,86.0,46.0,3,,,,,,第17项总平面
OPS-04,能源中心,1200.0,101.0,-940.0,90.0,82.0,48.0,3,,,,,,第17项总平面
OPS-05,水电运行中心,1340.0,101.0,-840.0,90.0,72.0,42.0,3,,,,,,第17项总平面
OPS-06,校车运营中心,1200.0,102.0,-760.0,90.0,82.0,40.0,3,,,,,,第17项总平面
OPS-07,网络信息中心,-550.0,103.0,-380.0,90.0,92.0,40.0,6,,,,,,第17项总平面
OPS-08,档案馆,-550.0,103.0,-500.0,90.0,76.0,38.0,5,,,,,,第17项总平面
OPS-09,教职工服务中心,-400.0,102.0,-650.0,90.0,82.0,40.0,5,,,,,,第17项总平面
OPS-10,校友中心,-250.0,102.0,-650.0,90.0,76.0,38.0,4,,,,,,第17项总平面
PE-01,体育学院楼,-300.0,115.0,700.0,180.0,92.0,36.0,6,,,,,,第17项总平面
PE-02,体育训练教学楼,300.0,115.0,700.0,180.0,86.0,46.0,4,,,,,,第17项总平面
PH-01,公共卫生学院楼,-760.0,103.0,-620.0,45.0,92.0,36.0,7,,,,,,第17项总平面
PH-02,公共卫生实验中心,-760.0,104.0,-500.0,45.0,86.0,46.0,5,,,,,,第17项总平面
PHA-01,药学院楼,-920.0,104.0,-620.0,45.0,92.0,36.0,7,,,,,,第17项总平面
PHA-02,药学实验中心,-920.0,105.0,-500.0,45.0,86.0,46.0,5,,,,,,第17项总平面
PHY-01,物理科学楼,-190.0,109.0,650.0,180.0,96.0,34.0,7,,,,,,第17项总平面
PHY-02,物理实验中心,-190.0,108.0,550.0,180.0,92.0,46.0,5,,,,,,第17项总平面
PSY-01,心理认知科学楼,990.0,108.0,430.0,270.0,86.0,32.0,6,,,,,,第17项总平面
RDI-01,智能工程实验中心,-700.0,112.0,760.0,90.0,96.0,46.0,6,,,,,,第17项总平面
RDI-02,国家重点实验室A,-1320.0,116.0,850.0,90.0,92.0,46.0,5,,,,,,第17项总平面
RDI-03,国家重点实验室B,-1160.0,116.0,850.0,90.0,92.0,46.0,5,,,,,,第17项总平面
RDI-04,国家重点实验室C,-1000.0,115.0,850.0,90.0,92.0,46.0,5,,,,,,第17项总平面
RDI-05,超级计算中心,-840.0,115.0,850.0,90.0,82.0,46.0,4,,,,,,第17项总平面
RDI-06,大型仪器共享中心,-680,114,860,90.0,86.0,52.0,4,,,,,,PATCH-2026-09-13-R6
RDI-07,先进制造研究中心,-1260.0,114.0,730.0,90.0,112.0,56.0,4,,,,,,第17项总平面
RDI-08,新能源研究中心,-1080,114,740,90.0,96.0,52.0,5,,,,,,PATCH-2026-09-13-R6
RDI-09,智能系统研究中心,-900.0,113.0,730.0,90.0,92.0,46.0,5,,,,,,第17项总平面
RDI-10,产学研中心A,-1180.0,117.0,960.0,180.0,96.0,46.0,6,,,,,,第17项总平面
RDI-11,产学研中心B,-1030.0,117.0,980.0,180.0,96.0,46.0,6,,,,,,第17项总平面
RDI-12,科技园综合楼,-880.0,117.0,990.0,180.0,122.0,56.0,8,,,,,,第17项总平面
RDI-13,科技园研发楼A,-730.0,116.0,1000.0,180.0,102.0,46.0,7,,,,,,第17项总平面
RDI-14,科技园研发楼B,-580.0,116.0,1000.0,180.0,102.0,46.0,7,,,,,,第17项总平面
RES-E-G01,,1300.0,103.0,-40.0,0.0,72,18,10,,,graduate,,,第17项总平面
RES-E-G02,,1420.0,103.0,-40.0,0.0,72,18,10,,,graduate,,,第17项总平面
RES-E-G03,,1240.0,103.0,-150.0,90.0,72,18,10,,,graduate,,,第17项总平面
RES-E-I01,,1380.0,103.0,-150.0,90.0,72,20,10,,,international,,,第17项总平面
RES-E-U01,,1180.0,105.0,300.0,0.0,,,,78,82,undergraduate,,,第17项总平面
RES-E-U02,,1300.0,105.0,300.0,0.0,,,,78,82,undergraduate,,,第17项总平面
RES-E-U03,,1420.0,106.0,300.0,0.0,,,,78,82,undergraduate,,,第17项总平面
RES-E-U04,,1180.0,104.0,200.0,0.0,,,,78,82,undergraduate,,,第17项总平面
RES-E-U05,,1300.0,104.0,200.0,0.0,,,,78,82,undergraduate,,,第17项总平面
RES-E-U06,,1420.0,105.0,200.0,0.0,,,,78,82,undergraduate,,,第17项总平面
RES-E-U07,,1180.0,104.0,80.0,0.0,,,,78,82,undergraduate,,,第17项总平面
RES-E-U08,,1300.0,104.0,80.0,0.0,,,,78,82,undergraduate,,,第17项总平面
RES-E-U09,,1420.0,104.0,80.0,0.0,,,,78,82,undergraduate,,,第17项总平面
RES-E-U10,,1180.0,103.0,-40.0,0.0,,,,78,82,undergraduate,,,第17项总平面
RES-N-G01,,-260.0,114.0,980.0,0.0,72,18,10,,,graduate,,,第17项总平面
RES-N-G02,,690.0,115.0,1000.0,90.0,72,18,10,,,graduate,,,第17项总平面
RES-N-G03,,810.0,115.0,950.0,0.0,72,18,10,,,graduate,,,第17项总平面
RES-N-U01,,-520.0,113.0,900.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-N-U02,,-390.0,113.0,900.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-N-U03,,-520.0,114.0,1000.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-N-U04,,-390.0,114.0,1000.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-N-U05,,-455.0,115.0,1060.0,0.0,,,,78,82,undergraduate,,,第17项总平面
RES-N-U06,,430.0,114.0,900.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-N-U07,,560.0,114.0,900.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-N-U08,,690.0,114.0,900.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-N-U09,,430.0,115.0,1000.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-N-U10,,560.0,115.0,1000.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-S-G01,,360.0,102.0,-740.0,0.0,72,18,10,,,graduate,,,第17项总平面
RES-S-I01,,500.0,102.0,-740.0,0.0,72,20,10,,,international,,,第17项总平面
RES-S-I02,,640.0,103.0,-740.0,0.0,72,20,10,,,international,,,第17项总平面
RES-S-I03,,780.0,103.0,-740.0,0.0,72,20,10,,,international,,,第17项总平面
RES-S-U01,,300.0,100.0,-950.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-S-U02,,420.0,100.0,-950.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-S-U03,,540.0,100.0,-950.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-S-U04,,660.0,100.0,-950.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-S-U05,,780.0,101.0,-950.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-S-U06,,300.0,101.0,-840.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-S-U07,,420.0,101.0,-840.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-S-U08,,540.0,101.0,-840.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-S-U09,,660.0,102.0,-840.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-S-U10,,780.0,102.0,-840.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-W-G01,,-1430.0,110.0,720.0,90.0,72,18,10,,,graduate,,,第17项总平面
RES-W-G02,,-1310.0,110.0,720.0,90.0,72,18,10,,,graduate,,,第17项总平面
RES-W-G03,,-1370.0,110.0,675.0,0.0,72,18,10,,,graduate,,,第17项总平面
RES-W-U01,,-1450.0,106.0,230.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-W-U02,,-1330.0,106.0,230.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-W-U03,,-1450.0,107.0,320.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-W-U04,,-1330.0,107.0,320.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-W-U05,,-1390.0,107.0,370.0,0.0,,,,78,82,undergraduate,,,第17项总平面
RES-W-U06,,-1450.0,108.0,440.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-W-U07,,-1330.0,108.0,440.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-W-U08,,-1450.0,108.0,530.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-W-U09,,-1330.0,108.0,530.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-W-U10,,-1390.0,109.0,575.0,0.0,,,,78,82,undergraduate,,,第17项总平面
RES-W-U11,,-1430.0,109.0,640.0,90.0,,,,78,82,undergraduate,,,第17项总平面
RES-W-U12,,-1310.0,109.0,640.0,90.0,,,,78,82,undergraduate,,,第17项总平面
SAF-01,安全学院楼,-1210.0,107.0,90.0,90.0,86.0,32.0,6,,,,,,第17项总平面
SAF-02,安全实验中心,-1100.0,106.0,0.0,90.0,82.0,44.0,4,,,,,,第17项总平面
SOC-01,社会科学楼,990.0,107.0,280.0,270.0,82.0,30.0,6,,,,,,第17项总平面
TRA-01,交通学院楼,-470.0,107.0,450.0,90.0,92.0,36.0,6,,,,,,第17项总平面
TRA-02,交通实验中心,-390.0,106.0,350.0,90.0,86.0,46.0,4,,,,,,第17项总平面
